Date,Building,Stream,Substream,Volume,Weight,Notes
10/4/17,Benson Center,Recycling,metal,0.5,4.4,"lecroix, soda cans"
10/4/17,Benson Center,Recycling,aseptic containers,0.13,0.8,muscle milk
10/4/17,Benson Center,Recycling,Other Landfill,0.33,4.0,snack wrappers
10/4/17,Benson Center,Recycling,Other Landfill,0.01,0.01,"coffee cups, 4 cups"
10/4/17,Benson Center,Recycling,paper towels,0.5,3.2,
10/4/17,Benson Center,Recycling,Misc. Meal Waste,0.01,1.8,
10/4/17,Benson Center,Recycling,Compostable Food Containers,0.5,1.0,plates
10/4/17,Benson Center,Recycling,Plastic 1-7,1.0,3.0,"waterbottles, laundry basket"
10/4/17,Benson Center,Recycling,reusables,0.5,8.7,"swimwear, sports equipment"
10/4/17,Benson Center,Recycling,paper,1.0,25.9,
10/4/17,Benson Center,Recycling,terracycle,0.01,1.3,"chip bags, granola bars"
10/4/17,Benson Center,Recycling,cardboard,1.0,9.1,boxes
10/4/17,Benson Center,Recycling,Plastic Film,1.25,11.9,recycling bags
10/4/17,Benson Center,Recycling,glass,0.2,16.6,snapple bottles
10/4/17,Benson Center,Compost,Other Landfill,0.01,0.01,
10/4/17,Benson Center,Compost,reusables,0.01,0.8,"sock, hair tie "
10/4/17,Benson Center,Compost,paper towels,0.75,8.8,
10/4/17,Benson Center,Compost,Plastic 1-7,0.01,0.9,bottles
10/4/17,Benson Center,Compost,Misc. Meal Waste,0.01,1.6,
10/4/17,Benson Center,Compost,Plastic Film,0.01,0.5,
10/4/17,Benson Center,Compost,Compostable Food Containers,0.33,0.9,compost liners
10/4/17,Benson Center,Compost,E-/Universal Waste,0.01,0.01,headphones
10/4/17,Benson Center,Compost,paper,0.01,0.01,1 sheet of paper
4/27/17,Benson Center,Landfill,Compostable Food Containers,1.0,12.5,"Bacon paper, coke cups, plates"
4/27/17,Benson Center,Landfill,paper,1.0,5.1,paperboard (food boxes)
4/27/17,Benson Center,Landfill,Plastic Film,1.0,16.7,bulk food bags
4/27/17,Benson Center,Landfill,Plastic 1-7,0.75,5.0,bulk food containers
4/27/17,Benson Center,Landfill,Misc. Meal Waste,0.33,29.1,"food scraps,tortilla chips"
4/27/17,Benson Center,Landfill,Compostable Food Containers,1.0,7.6,"sandwich paper, plates, napkins"
4/27/17,Benson Center,Landfill,Plastic 1-7,1.0,2.7,"milk cartons, bulk containers"
4/27/17,Benson Center,Landfill,Misc. Meal Waste,0.25,23.6,"coffee, food scraps"
4/27/17,Benson Center,Landfill,cardboard,1.5,9.0,produce (waxy) boxes
4/27/17,Benson Center,Landfill,Other Landfill,1.0,16.4,gloves
4/27/17,Benson Center,Landfill,Misc. Meal Waste,0.5,42.1,
4/27/17,Benson Center,Landfill,Compostable Food Containers,1.0,15.1,"plates, coke cups, PLA boxes (4 lids )"
4/27/17,Benson Center,Landfill,Plastic Film,1.0,17.7,"bread bags, bulk bags"
4/27/17,Benson Center,Landfill,Compostable Food Containers,0.5,5.2,see above
4/27/17,Benson Center,Landfill,paper towels,0.75,9.4,
4/27/17,Benson Center,Landfill,terracycle,0.01,0.01,1 wrapper
4/27/17,Benson Center,Landfill,Other Landfill,0.5,5.2,food packaging
4/27/17,Benson Center,Landfill,Misc. Meal Waste,0.5,27.0,bag full of lettuce (from landfill)
4/27/17,Benson Center,Landfill,aseptic containers,0.33,1.5,"almond milk, (mission bakery)"
4/27/17,Benson Center,Landfill,reusables,1.0,5.6,"limecrate, sugar/tea packet, hangers"
4/27/17,Benson Center,Landfill,paper,1.0,9.4,"receipts, glove box, paperboard"
4/27/17,Benson Center,Landfill,Plastic 1-7,0.33,2.8,"utensils, bulk food containers"
4/27/17,Benson Center,Landfill,glass,0.1,3.4,
4/27/17,Benson Center,Landfill,cardboard,0.5,0.8,
4/27/17,Benson Center,Landfill,Plastic Film,0.5,4.0,chicken bags
